time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,eval/reward,eval/length,eval/success,eval/TimeLimit.truncated,eval/reward_std,step,train/reward,train/length,train/num_ep,train/q_loss,train/target_q,train/actor_loss,train/entropy,train/alpha_loss,train/alpha
10000,0,9.650479802080199,0.0005718469619750977,3.6597251892089844e-05,0.07176411151885986,9751.5,-14.624969006464466,300.0,0.0,1.0,2.2006726184455765,10000,-18.111248847859564,300.0,32.5,0.0006705933787161484,0.27549912267923354,-0.4389082221388817,2.048299701213837,0.405757216155529,0.0803530012667179
20000,0,10.091280298611341,0.0005861520767211914,3.528594970703125e-05,0.10464417934417725,19751.5,-13.32051547645151,300.0,0.0,1.0,2.741842452871575,20000,-14.981347066329773,300.0,66.0,7.60484000275028e-05,0.27959896478056906,-0.2946670567393303,1.937424289703369,0.03927358844131231,0.007951918461360038
30000,0,10.045231255238667,0.0006459951400756836,4.8995018005371094e-05,0.10512101650238037,29751.5,-12.309318189504562,300.0,0.0,1.0,2.5238683798263137,30000,-12.142794600461976,300.0,99.5,0.00031181330673280173,-0.5953804832696915,0.5889568058252335,-1.7210811841487885,0.0014226390031399205,0.001111508895410225
40000,0,10.285851241086347,0.0018057823181152344,3.802776336669922e-05,0.09368133544921875,39751.5,-12.706003946090048,300.0,0.0,1.0,3.1767446482992003,40000,-8.807615001399112,300.0,132.5,0.0005275145230116322,-1.1882783689498901,1.180521367073059,-3.0065722761154174,-7.560372370789992e-06,0.001175755402771756
50000,0,10.210929265007092,0.0006477832794189453,3.6716461181640625e-05,0.0955514907836914,49751.5,-10.75947123491888,300.0,0.0,1.0,2.76162155651369,50000,-8.869924729180642,300.0,166.0,0.0007049117959104478,-1.5384579422473907,1.5288981561660766,-2.9768144602775575,3.609933901498152e-05,0.0015377759884577244
60000,0,11.020592147152298,0.0005663633346557617,3.743171691894531e-05,0.08665776252746582,59751.5,-10.208223986717652,300.0,0.0,1.0,3.0783400881645036,60000,-12.262050675092368,300.0,199.5,0.0008503151289187372,-1.7938036839962006,1.7827271027565001,-2.988962092399597,1.7388008385751163e-05,0.0015492929702159018
70000,0,10.956892575042168,0.000798344612121582,3.9458274841308594e-05,0.08550131320953369,69751.5,-10.518039567154887,300.0,0.0,1.0,2.2300545336111495,70000,-10.58455469718798,300.0,232.5,0.0009313871421618387,-1.9038346960544585,1.8914131953716278,-2.9890843815803527,1.5818803021829808e-05,0.001427602756768465
80000,0,10.992923874519013,0.0012084245681762695,3.647804260253906e-05,0.1193779706954956,79751.5,-8.189790251210168,300.0,0.06666666666666667,1.0,4.812665360169611,80000,-4.66393250536102,300.0,266.0,0.0011450332861859351,-1.9383096289634705,1.9240317976474761,-3.0009190707206725,-1.2995722208870574e-06,0.001894395005190745
90000,0,10.329691429559022,0.0005948543548583984,3.4928321838378906e-05,0.09177970886230469,89751.5,-8.346358835938707,300.0,0.0,1.0,4.33018947923767,90000,-4.3203163488873475,300.0,299.5,0.001529787393519655,-1.839077109336853,1.820187796831131,-2.985897032737732,2.0570582830259808e-05,0.0014437932616565377
100000,0,10.538817571676429,0.0005519390106201172,3.3855438232421875e-05,0.09063100814819336,99751.5,-7.259219171680567,300.0,0.0,1.0,2.3570870823270633,100000,-7.062389985375717,300.0,332.5,0.0016185691375285387,-1.698051896572113,1.6802629766464234,-3.0124467325210573,-1.7032288989867083e-05,0.0013731180566828698
110000,0,11.797153130811203,0.0006954669952392578,3.612041473388672e-05,0.08226299285888672,109751.5,-6.410336650370733,300.0,0.0,1.0,2.711191821522626,110000,-4.298267604549754,300.0,366.0,0.0012514717776793986,-1.568767434835434,1.5528930580615998,-2.989696421146393,1.2047651287502958e-05,0.0011623061180580407
120000,0,10.798527580988262,0.0006430149078369141,0.0005773305892944336,0.07998144626617432,119751.5,-4.880072591583327,300.0,0.06666666666666667,1.0,2.0047918184550206,120000,-6.594990998624742,300.0,399.5,0.0011371130319312215,-1.4693092453479766,1.4522996513843536,-2.9847960000038145,1.5820289137991494e-05,0.0010337433074600994
130000,0,10.050580854390908,0.0006074905395507812,3.421306610107422e-05,0.10512757301330566,129751.5,-3.0742224630195194,300.0,0.06666666666666667,1.0,0.7589067940964344,130000,-2.829259217179301,300.0,432.5,0.0009864995594834908,-1.3642252283096314,1.3473971185684204,-2.999831768512726,2.4757990649959536e-07,0.0009531538317678497
140000,0,9.5086761128872,0.0005886554718017578,3.445148468017578e-05,0.10886156558990479,139751.5,-3.604377904802499,300.0,0.13333333333333333,1.0,1.9866082842929287,140000,-3.247068922885882,300.0,466.0,0.0009030461298534647,-1.2819669380187988,1.2660780794620514,-3.0093463191986083,-8.834523142468243e-06,0.0009607019647955895
150000,0,10.020303380563272,0.0005987882614135742,3.5762786865234375e-05,0.10292303562164307,149751.5,-3.350625001245644,300.0,0.2,1.0,3.131384990628675,150000,-3.3045348859219925,300.0,499.5,0.0008551981031196192,-1.2027322118282318,1.1884595270156861,-3.00120796918869,-9.254739798052469e-07,0.0007982379464665428
