time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,eval/reward,eval/length,eval/success,eval/TimeLimit.truncated,eval/reward_std,step,train/reward,train/length,train/num_ep,train/q_loss,train/target_q,train/actor_loss,train/entropy,train/alpha_loss,train/alpha
10000,0,10.309853333965153,0.0005022287368774414,3.6835670471191406e-05,0.08307266235351562,9751.5,-14.252028311077114,300.0,0.0,1.0,2.9177512751686265,10000,-18.18738774837864,300.0,32.5,0.000571144814020954,0.3075161728858948,-0.47079551774263384,2.048773666381836,0.40538167041540146,0.08027092193067074
20000,0,10.6482294064968,0.0005822181701660156,4.267692565917969e-05,0.09261512756347656,19751.5,-12.283052491075265,300.0,0.0,1.0,2.333043303578113,20000,-14.725272182036132,300.0,66.0,6.578005036135437e-05,0.38978015452623366,-0.40488336777687073,1.9632318282127381,0.039399986788630485,0.007936287378892303
30000,0,10.6635854172386,0.0006159543991088867,3.695487976074219e-05,0.10945296287536621,29751.5,-11.872192141184183,300.0,0.0,1.0,2.6898797239487524,30000,-9.337049173577155,300.0,99.5,0.00025191111376625483,-0.5130434040427208,0.5086204458475113,-1.0824832537174225,0.0019496612842194736,0.0010144300512038172
40000,0,9.69313307382178,0.0006463527679443359,3.921985626220703e-05,0.10335075855255127,39751.5,-10.096336843636978,300.0,0.3333333333333333,1.0,4.6966907507905375,40000,-11.287818524086424,300.0,132.5,0.0005399653323111124,-1.1028648121356963,1.0956273424625396,-3.040086524963379,-4.957658336206805e-05,0.0012496656065341086
50000,0,10.780193163358783,0.0008385181427001953,4.0531158447265625e-05,0.089485764503479,49751.5,-9.023860500613479,300.0,0.0,1.0,1.9452534337149934,50000,-6.95265602658508,300.0,166.0,0.0019122759175952523,-1.30590958070755,1.2848476376533509,-3.026459643363953,-4.523137052092352e-05,0.0017296765111386777
60000,0,12.08160647150174,0.0006349086761474609,3.921985626220703e-05,0.08279383182525635,59751.5,-10.519588621575668,300.0,0.0,1.0,1.8247930976155569,60000,-8.987539200461866,300.0,199.5,0.003223220025654882,-1.1413346573114396,1.1195215089321136,-2.943021502971649,0.00011543236777652054,0.0020092575862072407
70000,0,12.428935952941876,0.0006881952285766602,3.6835670471191406e-05,0.08014380931854248,69751.5,-11.59326047809176,300.0,0.0,1.0,2.5208537486893596,70000,-10.23019865528013,300.0,232.5,0.0022145940186455845,-1.0907851519584655,1.071641462445259,-3.0147159070968628,-2.712600874110649e-05,0.001855386127019301
80000,0,12.747057077707113,0.0006453990936279297,3.6835670471191406e-05,0.09616804122924805,79751.5,-11.034501539035356,300.0,0.0,1.0,3.951893802734439,80000,-11.020199880750356,300.0,266.0,0.001336869116872549,-1.271659812927246,1.2576984107494353,-3.0000217719078064,6.071964162401855e-08,0.0012675211881287396
90000,0,9.872635938697417,0.0005956888198852539,3.719329833984375e-05,0.10270428657531738,89751.5,-7.57601578741256,300.0,0.0,1.0,3.131169401271722,90000,-8.108286206803797,300.0,299.5,0.000999338420224376,-1.3837693569660188,1.3672683589458465,-3.011267803668976,-1.5836424068766064e-05,0.00141386616230011
100000,0,11.15302620749389,0.0006811618804931641,4.279613494873047e-05,0.0896763801574707,99751.5,-5.934778902959699,300.0,0.0,1.0,2.5737113748596783,100000,-3.7202996710520657,300.0,332.5,0.0009216024583438412,-1.379231429338455,1.3599459145069122,-2.9952126808166506,6.897163195390022e-06,0.0014217652336228639
