time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,eval/reward,eval/length,eval/success,eval/TimeLimit.truncated,eval/reward_std,step,train/reward,train/length,train/num_ep,train/q_loss,train/target_q,train/actor_loss,train/entropy,train/alpha_loss,train/alpha
10000,0,9.70278565801443,0.0005875825881958008,3.6716461181640625e-05,0.08121907711029053,9751.5,-14.741631046758725,300.0,0.0,1.0,2.8293854976845876,10000,-14.93051549546701,300.0,32.5,0.0006442034558276646,0.33342856937646864,-0.4965665088891983,2.0467112736701965,0.405475057721138,0.08032317593693733
20000,0,11.418357550039598,0.0006529092788696289,3.540515899658203e-05,0.059993624687194824,19751.5,-11.677926526386774,300.0,0.0,1.0,2.451285607942417,20000,-13.854982108844956,300.0,66.0,6.717181808926397e-05,0.4070697581768036,-0.422506937623024,1.938060706615448,0.03926105937361717,0.007948544818907976
30000,0,13.947648883486169,0.0012974739074707031,3.6597251892089844e-05,0.06110513210296631,29751.5,-11.581074100446246,300.0,0.0,1.0,2.6161631504220972,30000,-13.094312296135334,300.0,99.5,0.00024382397829322144,-0.4659983149766922,0.46084737396240233,-1.153871012568474,0.00189731560414657,0.0010267693409696222
40000,0,11.275393267373747,0.0017824172973632812,4.029273986816406e-05,0.07861685752868652,39751.5,-10.865519823979701,300.0,0.0,1.0,3.2594476131079677,40000,-6.965709711603461,300.0,132.5,0.00043678562581771983,-1.0622832477092743,1.055433234810829,-3.0765705618858337,-7.176127506227204e-05,0.0009439589999383315
50000,0,10.385256061350914,0.0012573003768920898,3.6597251892089844e-05,0.09765875339508057,49751.5,-9.409631649885808,300.0,0.0,1.0,1.2318136979733136,50000,-6.036476787376183,300.0,166.0,0.0008508562827482819,-1.3944453947544098,1.3833139328956603,-2.985076054096222,2.2684958907120745e-05,0.001507060072850436
60000,0,10.094326205655925,0.0006889104843139648,3.981590270996094e-05,0.08259809017181396,59751.5,-8.541646142797545,300.0,0.0,1.0,2.502940791266914,60000,-6.266163809019211,300.0,199.5,0.0009814284576568752,-1.5308647816181182,1.518838896036148,-3.047855791091919,-7.976654115009297e-05,0.001655758656328544
70000,0,8.05147703661162,0.0006319284439086914,3.6597251892089844e-05,0.11506736278533936,69751.5,-5.1034365305052445,300.0,0.0,1.0,1.817853518799283,70000,-4.649267273693686,300.0,232.5,0.0010294156591407954,-1.5124101729393005,1.4973664050102233,-2.968968156337738,4.922481756148045e-05,0.0015634022380691022
80000,0,9.823059979355458,0.0006285905838012695,3.6597251892089844e-05,0.12269294261932373,79751.5,-5.312686233729008,300.0,0.0,1.0,0.9129795710994136,80000,-5.377791903811778,300.0,266.0,0.0012225631051696836,-1.4359952239990235,1.418949256658554,-2.9604344148635864,6.0597252662773824e-05,0.0015281534069217742
90000,0,10.234946295365368,0.0006941556930541992,3.719329833984375e-05,0.10239112377166748,89751.5,-6.861357201099534,300.0,0.0,1.0,4.1064327605156175,90000,-5.932541098892898,300.0,299.5,0.0012441104956669733,-1.341378828048706,1.324781986951828,-3.0023773703575136,-2.9477131956809898e-06,0.0012859802700113505
100000,0,11.085845461807077,0.0006393194198608398,3.6716461181640625e-05,0.08666062355041504,99751.5,-6.249210717048062,300.0,0.0,1.0,4.85664235973105,100000,-5.4923266813806135,300.0,332.5,0.0011076204192359,-1.304318228006363,1.290276572227478,-2.9954425110816953,5.755384676376707e-06,0.0012344641087111085
110000,0,10.198244562419744,0.0005968809127807617,3.814697265625e-05,0.09993672370910645,109751.5,-3.949652613312715,300.0,0.06666666666666667,1.0,3.620117400868489,110000,-3.897482094943363,300.0,366.0,0.0010802995623089373,-1.2731857380867004,1.2594129846096038,-3.001116482257843,-9.83245045063086e-07,0.0009742892065551132
120000,0,10.20011759002825,0.00064849853515625,3.457069396972656e-05,0.0861121416091919,119751.5,-4.104445718171393,300.0,0.2,1.0,3.091705199196995,120000,-2.132692370633942,300.0,399.5,0.001138677339768037,-1.1974926908016206,1.1827938923835755,-3.020033716201782,-1.8500641661375993e-05,0.0009243158847093582
130000,0,11.4036163852881,0.0005466938018798828,0.0008115768432617188,0.08426558971405029,129751.5,-3.472390404724928,300.0,0.0,1.0,0.624415303506778,130000,-2.2378642386717797,300.0,432.5,0.0009816438183188438,-1.100135106086731,1.0856547300815582,-2.976860372543335,2.0062388181031564e-05,0.0008610879286425189
140000,0,10.639431479732028,0.0005893707275390625,3.612041473388672e-05,0.0980147123336792,139751.5,-3.249242604980294,300.0,0.06666666666666667,1.0,1.4847656109529432,140000,-2.205498562017894,300.0,466.0,0.0008434451341163367,-1.0193070397377013,1.0069847863912582,-2.966155068874359,2.6452269547007744e-05,0.0007818253876175731
