time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,eval/reward,eval/length,eval/success,eval/TimeLimit.truncated,eval/reward_std,step,train/reward,train/length,train/num_ep,train/q_loss,train/target_q,train/actor_loss,train/entropy,train/alpha_loss,train/alpha
10000,0,10.135739566196076,0.0006111860275268555,3.4928321838378906e-05,0.10266852378845215,9751.5,-14.714966848702764,300.0,0.0,1.0,3.32810079779903,10000,-11.321395969873203,300.0,32.5,0.0006125608516158536,0.2917289318442345,-0.45517777901887896,2.0487278361320493,0.40580803000926974,0.08035652460157872
20000,0,10.639767117908578,0.000710606575012207,3.6597251892089844e-05,0.09158122539520264,19751.5,-12.72603989522026,300.0,0.0,1.0,2.2674098474401334,20000,-15.373533457688593,300.0,66.0,8.300942640198627e-05,0.2726672962605953,-0.28761206144094464,1.934594598531723,0.03925518510490656,0.007952769910916686
30000,0,13.807371734352966,0.0006082057952880859,3.8504600524902344e-05,0.09807705879211426,29751.5,-12.915660445947928,300.0,0.0,1.0,2.879772953114268,30000,-11.907629602115293,300.0,99.5,0.00033610973687609656,-0.6704884778261184,0.6649975090026855,-1.6189312863349914,0.0014739987349603324,0.0010655827133450658
40000,0,16.68961846795823,0.0005578994750976562,3.4928321838378906e-05,0.041994333267211914,39751.5,-12.451268018975737,300.0,0.0,1.0,3.9672881669378675,40000,-13.719298077075543,300.0,132.5,0.0005438511714455672,-1.2945179369449615,1.287054547071457,-3.0100370802879333,-1.1023852162907133e-05,0.0011172924891579897
50000,0,11.533992160159713,0.0007653236389160156,3.886222839355469e-05,0.05630350112915039,49751.5,-11.868882856246211,300.0,0.0,1.0,3.4773483827114324,50000,-3.8484062912659147,300.0,166.0,0.0007950891307555139,-1.5950258133411408,1.5820924849510194,-3.0166036663055418,-2.696297761212918e-05,0.0016152580950874835
60000,0,14.973551035698721,0.0006055831909179688,3.4809112548828125e-05,0.08265519142150879,59751.5,-10.85038437293371,300.0,0.0,1.0,3.206894979249765,60000,-14.522219350127553,300.0,199.5,0.0010090335009153933,-1.7269617164134978,1.7126627922058106,-2.978232751369476,3.016619280424493e-05,0.0013810049903113396
70000,0,13.01268165483675,0.0005806684494018555,3.552436828613281e-05,0.07476162910461426,69751.5,-9.160862948605708,300.0,0.0,1.0,2.4776489935975228,70000,-9.672776836640185,300.0,232.5,0.0010188127463916317,-1.8184957888126374,1.8056277346611023,-3.0302250208854677,-4.120519207572215e-05,0.0013751390303950756
80000,0,7.115488152575084,0.0006570816040039062,3.7550926208496094e-05,0.16241788864135742,79751.5,-10.117899763809971,300.0,0.0,1.0,2.8939412175098345,80000,-12.61038843185944,300.0,266.0,0.001053071177797392,-1.8868179788589479,1.874158721923828,-2.9749557161331177,3.314868021152506e-05,0.0013222089849878103
90000,0,9.548740517477725,0.0011123418807983398,3.504753112792969e-05,0.08944201469421387,89751.5,-7.6630666427775145,300.0,0.0,1.0,4.313992010039362,90000,-3.910298072275137,300.0,299.5,0.0011242707984056323,-1.8636296949386597,1.8504609060287476,-3.00960874414444,-1.2085256061254767e-05,0.00128626658488065
100000,0,9.778046779168129,0.0008690357208251953,4.374980926513672e-05,0.08999764919281006,99751.5,-6.855001527731044,300.0,0.06666666666666667,1.0,4.179470113365314,100000,-8.271484114391463,300.0,332.5,0.0013201349331066013,-1.7895512239933014,1.7737710900306702,-3.03096079826355,-4.5974814940564105e-05,0.00149518610117957
