time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/outer_loss,train/pre_adapt_support_accuracy,train/post_adapt_support_accuracy,train/post_adapt_query_accuracy,valid/outer_loss,valid/pre_adapt_support_accuracy,valid/post_adapt_support_accuracy,valid/post_adapt_query_accuracy,step
0,0,15.306668815429989,0.014358758926391602,0.0008313655853271484,3.2505221366882324,0.7029399871826172,0.4453125,0.4453125,0.484375,0.7028539180755615,0.5053125,0.5053125,0.4865625,0
100,0,0.6120834274096526,0.0008864402770996094,0.0007512569427490234,1.692354679107666,0.7022125375270843,0.5040625,0.5040625,0.495625,0.702961757183075,0.5125,0.5125,0.4971875,100
200,0,0.6156637376016086,0.0010249614715576172,0.0005643367767333984,1.6113941669464111,0.7029700767993927,0.5071875,0.5071875,0.50109375,0.7017757821083069,0.50375,0.50375,0.501875,200
300,0,0.6178260700027924,0.0010323524475097656,0.0005364418029785156,1.6073384284973145,0.7027808332443237,0.5034375,0.5034375,0.4940625,0.7024891018867493,0.4953125,0.4953125,0.508125,300
400,0,0.618522440590042,0.0014204978942871094,0.0007760524749755859,1.6023852825164795,0.7030410695075989,0.5046875,0.5046875,0.49671875,0.7031651186943054,0.493125,0.493125,0.505,400
500,0,0.6197899671333569,0.0010068416595458984,0.0005643367767333984,1.599266529083252,0.7027659642696381,0.49421875,0.49421875,0.5009375,0.7025397753715515,0.5078125,0.5078125,0.493125,500
600,0,0.6169031175338383,0.0010194778442382812,0.0005435943603515625,1.58101487159729,0.7027522683143616,0.50859375,0.50859375,0.5015625,0.7028925037384033,0.5215625,0.5215625,0.510625,600
700,0,0.6191099039877666,0.0014483928680419922,0.0007722377777099609,1.6580066680908203,0.7024259603023529,0.4928125,0.4928125,0.49484375,0.702833800315857,0.5215625,0.5215625,0.4959375,700
800,0,0.5544669235447091,0.0012004375457763672,0.0006334781646728516,1.7293875217437744,0.7028279066085815,0.496875,0.496875,0.5,0.7026337814331055,0.5015625,0.5015625,0.5115625,800
900,0,0.5521077618758427,0.0013065338134765625,0.0005867481231689453,1.7492506504058838,0.7036455202102662,0.50109375,0.50109375,0.4946875,0.7035112738609314,0.4925,0.4925,0.498125,900
1000,0,0.5690293155190702,0.0008947849273681641,0.0007810592651367188,1.8144490718841553,0.7033521664142609,0.48796875,0.48796875,0.49171875,0.7029755210876465,0.505625,0.505625,0.5065625,1000
1100,0,0.5616076256085345,0.0010669231414794922,0.0005435943603515625,1.855823278427124,0.7027685797214508,0.50421875,0.50421875,0.50046875,0.7028769040107727,0.4990625,0.4990625,0.496875,1100
1200,0,0.5616788335732326,0.0010526180267333984,0.0005428791046142578,1.734330177307129,0.702554134130478,0.5059375,0.5059375,0.4975,0.7022169065475464,0.491875,0.491875,0.504375,1200
1300,0,0.5744535350750465,0.0012755393981933594,0.0006177425384521484,1.7450892925262451,0.7027190518379212,0.49953125,0.49953125,0.4990625,0.7023691868782044,0.5040625,0.5040625,0.509375,1300
1400,0,0.6063037898410221,0.0010440349578857422,0.0005412101745605469,1.7216920852661133,0.7027330732345581,0.50109375,0.50109375,0.50453125,0.7018084573745728,0.490625,0.490625,0.5053125,1400
1500,0,0.613894720880736,0.0006270408630371094,0.0005488395690917969,1.600945234298706,0.7028534102439881,0.50015625,0.50015625,0.504375,0.7026740717887878,0.49625,0.49625,0.5009375,1500
1600,0,0.6163797008433815,0.0010235309600830078,0.0005726814270019531,1.7028007507324219,0.7028974306583404,0.5028125,0.5028125,0.49875,0.7029439759254456,0.4946875,0.4946875,0.508125,1600
1700,0,0.5926847926270902,0.0014810562133789062,0.0007543563842773438,1.757707118988037,0.7024875593185425,0.49296875,0.49296875,0.49078125,0.7030251812934876,0.5165625,0.5165625,0.490625,1700
1800,0,0.5996279442464545,0.0006933212280273438,0.0005428791046142578,1.6433501243591309,0.7022918748855591,0.4975,0.4975,0.49296875,0.7020520281791687,0.49,0.49,0.490625,1800
1900,0,0.5987810307126994,0.0014221668243408203,0.0008389949798583984,1.7573485374450684,0.7029011273384094,0.50578125,0.50578125,0.5009375,0.7017938590049744,0.4990625,0.4990625,0.4975,1900
2000,0,0.6101528310133341,0.0014715194702148438,0.0007681846618652344,1.651418924331665,0.702516667842865,0.5125,0.5125,0.5046875,0.7031739926338196,0.499375,0.499375,0.5059375,2000
2100,0,0.6212179488878954,0.0010111331939697266,0.0005543231964111328,1.5839388370513916,0.7029055368900299,0.50203125,0.50203125,0.50609375,0.7018621253967285,0.5103125,0.5103125,0.49875,2100
2200,0,0.6232285540569579,0.0016002655029296875,0.0007770061492919922,1.6612720489501953,0.7021296966075897,0.49734375,0.49734375,0.490625,0.7031299018859863,0.4834375,0.4834375,0.4978125,2200
2300,0,0.6194553497015661,0.0007953643798828125,0.0005409717559814453,1.6706328392028809,0.7029202580451965,0.4978125,0.4978125,0.4984375,0.7026437187194824,0.5078125,0.5078125,0.4934375,2300
2400,0,0.6196071109963708,0.0014414787292480469,0.0007474422454833984,1.6196789741516113,0.7028974199295044,0.49515625,0.49515625,0.505625,0.7024799418449402,0.509375,0.509375,0.503125,2400
2500,0,0.6214819101773199,0.001026153564453125,0.0005345344543457031,1.6690523624420166,0.7027011859416962,0.50265625,0.50265625,0.49640625,0.7023231267929078,0.4846875,0.4846875,0.4984375,2500
2600,0,0.6207029536008595,0.0008118152618408203,0.0005447864532470703,1.669281244277954,0.7023935747146607,0.5,0.5,0.495,0.7028416967391968,0.503125,0.503125,0.4965625,2600
2700,0,0.6206288107512985,0.0014879703521728516,0.0008809566497802734,1.5926682949066162,0.7026916563510894,0.51203125,0.51203125,0.505,0.7016808819770813,0.5134375,0.5134375,0.4915625,2700
2800,0,0.621520935302896,0.0014274120330810547,0.0007874965667724609,1.5799634456634521,0.7035330307483673,0.5103125,0.5103125,0.5059375,0.7029224991798401,0.5090625,0.5090625,0.499375,2800
2900,0,0.6177896476965358,0.0010535717010498047,0.0005621910095214844,1.5850417613983154,0.7026462566852569,0.49140625,0.49140625,0.49109375,0.7038567757606506,0.49375,0.49375,0.5078125,2900
3000,0,0.6186559852473543,0.0009000301361083984,0.0008263587951660156,1.5943222045898438,0.7031806945800781,0.5021875,0.5021875,0.50328125,0.7024557900428772,0.5171875,0.5171875,0.4928125,3000
3100,0,0.6226150628293304,0.0010077953338623047,0.000560760498046875,1.5656955242156982,0.7029015362262726,0.4925,0.4925,0.4921875,0.7028729891777039,0.50125,0.50125,0.50125,3100
3200,0,0.6232192640544562,0.0009982585906982422,0.0005600452423095703,1.5745315551757812,0.7030744445323944,0.496875,0.496875,0.5084375,0.7027603602409362,0.5134375,0.5134375,0.4959375,3200
3300,0,0.620037628559601,0.0010044574737548828,0.0005555152893066406,1.689363718032837,0.7020529639720917,0.5034375,0.5034375,0.50640625,0.702542622089386,0.494375,0.494375,0.4965625,3300
3400,0,0.6194361855657314,0.0009992122650146484,0.0005319118499755859,1.6768913269042969,0.7029475438594818,0.5078125,0.5078125,0.496875,0.7023127722740173,0.5015625,0.5015625,0.4828125,3400
3500,0,0.6230911010345439,0.0014281272888183594,0.0007617473602294922,1.5664045810699463,0.7033304584026336,0.50515625,0.50515625,0.49640625,0.7028607583045959,0.50625,0.50625,0.501875,3500
3600,0,0.6203456501789926,0.0007987022399902344,0.0005400180816650391,1.707536220550537,0.7028629326820374,0.49734375,0.49734375,0.4934375,0.7021741008758545,0.483125,0.483125,0.495625,3600
3700,0,0.6195806905001364,0.0012125968933105469,0.000629425048828125,1.6869258880615234,0.7024064266681671,0.5003125,0.5003125,0.50078125,0.7031616020202637,0.48875,0.48875,0.504375,3700
