time/steps,time/epochs,time/steps_per_second,train/outer_loss,train/pre_adapt_support_accuracy,train/post_adapt_support_accuracy,train/post_adapt_query_accuracy,valid/outer_loss,valid/pre_adapt_support_accuracy,valid/post_adapt_support_accuracy,valid/post_adapt_query_accuracy,step
0,0,387.66691159820135,2.073096752166748,0.5243055745959282,0.5555555671453476,0.5277777835726738,2.0827606916427612,0.4954861182719469,0.5069444511085749,0.4954861171543598,0
200,0,15.522306443114777,1.3953075647354125,0.5641319500654935,0.8989236173033714,0.8719444511830807,0.683547955751419,0.5479166723787785,0.9600694432854653,0.9315972313284874,250
500,0,15.401418384714676,0.6176124686002731,0.5715625067055226,0.9642361100018024,0.9278819471597671,0.5809669941663742,0.6638888917863369,0.972916665673256,0.9281250044703484,500
700,0,15.32868864606215,0.5695171403884888,0.5664236171543598,0.964618053585291,0.9351736138761043,0.46816620528697966,0.6020833373069763,0.9611111104488372,0.9548611074686051,750
1000,0,15.859575865365665,0.5963994175195694,0.5633680615201593,0.9646180558204651,0.9303819486498832,0.5025650173425674,0.5197916693985463,0.970833332836628,0.9468749985098839,1000
1200,0,16.35727119653541,0.566653600037098,0.5602777829393745,0.9701041658222676,0.9353472250699997,0.47683815360069276,0.5756944462656974,0.9791666641831398,0.949305559694767,1250
1500,0,15.542958955147139,0.5700786900520325,0.5660416742414236,0.9673263892531395,0.9371875053644181,0.5136553764343261,0.6395833417773247,0.9784722194075585,0.9538194477558136,1500
1700,0,15.40352360361975,0.5617463701963424,0.5647569507360458,0.9677083319425583,0.9393750023841858,0.4766795337200165,0.6739583425223827,0.9857638850808144,0.9500000044703484,1750
2000,0,15.144300569975137,0.5541516435146332,0.5741319497302174,0.9673958325386047,0.9390277804434299,0.5413597106933594,0.5319444522261619,0.9614583313465118,0.9399305582046509,2000
2200,0,14.881200991213419,0.580577255487442,0.5600347293913365,0.9672569435834885,0.9363541708886624,0.4587598621845245,0.5972222328186035,0.9680555507540702,0.9534722283482552,2250
2500,0,15.263713765772907,0.5689777129888535,0.5682986173033714,0.9657638889551162,0.9353819489479065,0.43921096324920655,0.6885416701436042,0.9763888880610466,0.9569444432854652,2500
2700,0,15.379593023275001,0.5460983374714852,0.5712500061467289,0.9677430540323257,0.9372222243249416,0.46986044049263,0.6343750081956386,0.9753472179174423,0.9479166716337204,2750
3000,0,14.97134270075012,0.5401695677638054,0.5645833391696214,0.9642361110448837,0.9436111128330231,0.5073313891887665,0.7319444507360459,0.9857638880610466,0.9454861149191857,3000
3200,0,15.34373773577672,0.5403222540020942,0.5595486176013946,0.9676041646301746,0.9373263926804065,0.5835873901844024,0.6826388970017433,0.9739583268761635,0.9347222223877907,3250
3500,0,15.517007223764294,0.5370042133331299,0.5570486158877611,0.9684722204506397,0.9404513901472091,0.4875883340835571,0.7791666731238365,0.975694440305233,0.9472222194075585,3500
3700,0,16.053450057007815,0.5519172263145447,0.568611116502434,0.9695833331346512,0.9396180576086044,0.5058884143829345,0.7437500081956386,0.9774305567145347,0.948958332836628,3750
4000,0,15.032369219265155,0.5281560119986534,0.5676736148819327,0.9676388880610466,0.9417361122369766,0.4143706738948822,0.7468750081956387,0.9753472164273262,0.955555559694767,4000
4200,0,14.83925920173473,0.5443571293354035,0.5514236155897378,0.9682986097037792,0.9378819474577904,0.39649036824703215,0.672222226858139,0.967361107468605,0.9684027761220932,4250
4500,0,16.25811834331316,0.5506990933418274,0.558750004991889,0.968263887912035,0.9404513895511627,0.3971025228500366,0.6763888955116272,0.9833333313465118,0.9593749985098838,4500
4700,0,15.156579900030195,0.5696988502144813,0.5564236171171069,0.9690624994039535,0.9399305576086044,0.45653032064437865,0.722222226113081,0.9784722194075585,0.9493055582046509,4750
5000,0,15.771429662961452,0.521855640411377,0.5529513922333718,0.9718055546283721,0.9418750010430813,0.4448987305164337,0.6458333384245634,0.9690972238779068,0.9444444447755813,5000
5200,0,15.268624032288214,0.5676739522814751,0.5630555622652174,0.9692013874650002,0.9376388919353486,0.44222797751426696,0.738888894021511,0.982986107468605,0.9506944462656974,5250
5500,0,15.906578342127522,0.5318985298275948,0.5686805612035095,0.967881942987442,0.9433680559694767,0.41599641740322113,0.6871527843177319,0.9809027746319771,0.9510416686534882,5500
5700,0,15.986339797536285,0.573747550547123,0.564375004870817,0.9651041658222675,0.9353819459676742,0.5033966094255448,0.7583333417773247,0.9739583298563957,0.9475694432854652,5750
6000,0,15.241724441600628,0.5690329718589783,0.5630555608868599,0.9648263882100582,0.9399305573105812,0.48228374421596526,0.7524305671453476,0.9756944417953491,0.9475694462656975,6000
6200,0,15.034892114724043,0.5419658970832825,0.5652083386853337,0.9658333320915699,0.9388888922333717,0.39861542284488677,0.695486119389534,0.9777777761220932,0.9635416641831398,6250
6500,0,15.657819681580213,0.5143002516031265,0.5535069488827139,0.9704166643321515,0.9456250016391278,0.46745923161506653,0.7246527835726738,0.9815972194075584,0.9517361149191856,6500
6700,0,15.044751484028108,0.5111683565378189,0.5625694485194981,0.9692361092567444,0.9460416674613953,0.4351030707359314,0.7072916746139526,0.9770833298563957,0.9625000044703483,6750
7000,0,15.284538375713877,0.5293755277991294,0.5512500042468309,0.966736109405756,0.9405208347737789,0.4274564355611801,0.7444444499909878,0.9722222223877907,0.9531250014901161,7000
7200,0,14.199230419575128,0.5478551253676415,0.5623263942077756,0.9661458322405815,0.9388888914883137,0.493764266371727,0.703472227230668,0.977083332836628,0.9444444447755813,7250
7500,0,14.670398847831072,0.5112755262851715,0.5603819482587278,0.9712847213447094,0.9468402773141861,0.4369143694639206,0.7548611156642437,0.9743055552244186,0.9583333328366279,7500
7700,0,14.965877845326697,0.5120991313457489,0.5619097265973687,0.9703124985098839,0.9448263914883137,0.40665667951107026,0.7034722320735455,0.9812499985098839,0.9583333343267441,7750
8000,0,15.182696426649036,0.5624096554517746,0.5598263939097524,0.9665624988079071,0.9388541679084301,0.43730272352695465,0.6489583417773247,0.9736111059784889,0.9531250014901161,8000
8200,0,14.257718096257369,0.5455919307470322,0.5552777835540473,0.9711458311975002,0.9354166702926159,0.40781399309635163,0.6951388955116272,0.9708333343267441,0.9597222253680229,8250
8500,1,15.212020208251753,0.5354079400002957,0.5573611168563366,0.971041665226221,0.9421527814865113,0.46464192271232607,0.5708333395421505,0.9763888865709305,0.9555555537343026,8500
8700,1,16.05839287506216,0.525854789018631,0.5570486178994178,0.9675694434344768,0.9418750020861626,0.4453947633504868,0.7013888970017433,0.9819444388151168,0.9545138865709305,8750
9000,1,15.447163903338405,0.5233662730455398,0.5584027831815184,0.9701736095547676,0.9423263907432556,0.44526312947273256,0.6295138943940402,0.9802083298563957,0.9541666686534882,9000
9200,1,15.01018195609865,0.5128242112696171,0.559479171410203,0.9664930538833141,0.9440277783572674,0.4467808842658997,0.7173611178994179,0.968402773141861,0.9597222238779068,9250
9500,1,14.825634159065546,0.505345809161663,0.5563194486917928,0.9703819417953491,0.947847222238779,0.42621712386608124,0.7079861164093018,0.9760416656732559,0.9565972208976745,9500
9700,1,14.490137350258273,0.5593212646245956,0.5631944496929645,0.9665972216427327,0.9379166698455811,0.4366111993789673,0.6336805619299412,0.971875,0.9545138940215111,9750
10000,1,15.081105043429822,0.5012594294548035,0.5555555608123541,0.9678819440305233,0.9473611134290695,0.3860705494880676,0.6944444514811039,0.9711805537343026,0.9631944447755814,10000
10200,1,14.7135964334077,0.5051349207758904,0.5604166712611913,0.9695138864219188,0.9452777783572673,0.4672851532697678,0.6454861156642437,0.9756944462656975,0.9444444522261619,10250
10500,1,14.563276426090722,0.5310762917995453,0.5513888937002048,0.967569442242384,0.9425347225368023,0.42830274254083633,0.6795138984918594,0.9809027746319771,0.9565972268581391,10500
10700,1,14.022092455390645,0.520686254799366,0.5503819509595632,0.9670833314955235,0.9423263901472092,0.4445027321577072,0.6472222305834293,0.972916667163372,0.948958334326744,10750
11000,1,14.996448344716256,0.5375406464934349,0.5625694502703845,0.9707638879120349,0.9374652816355229,0.4683434396982193,0.6694444466382266,0.9743055567145348,0.9489583373069763,11000
11200,1,14.723909668024476,0.5015623316168785,0.5596527845226228,0.9704166653752327,0.9463194459676743,0.46040410101413726,0.7059027824550868,0.9802083283662796,0.9545138865709305,11250
11500,1,14.680694242203819,0.5044844964146614,0.5615625053830445,0.9697569425404072,0.9465277822315693,0.46566460728645326,0.7017361171543598,0.9774305552244187,0.9513888895511627,11500
11700,1,14.490826199491048,0.5264821603894234,0.5639930616132915,0.9695833314955234,0.9448958346247673,0.42940206825733185,0.6520833402872086,0.9722222208976745,0.9600694432854653,11750
12000,1,14.964669491908515,0.5227689576148987,0.5648611164093018,0.9686111102998257,0.9417361137270928,0.4475362867116928,0.6131944507360458,0.9743055507540703,0.9499999985098839,12000
12200,1,14.84905598322072,0.5283198980987072,0.5459722280502319,0.9721527768671513,0.9419444465637207,0.5588476836681366,0.6666666738688946,0.9815972194075584,0.9388888940215111,12250
12500,1,15.326268925099477,0.49959002912044526,0.5557638949528336,0.9652083325386047,0.9447222235798836,0.48583871126174927,0.6788194514811039,0.9697916656732559,0.9520833328366279,12500
