time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/outer_loss,train/pre_adapt_support_accuracy,train/post_adapt_support_accuracy,train/post_adapt_query_accuracy,valid/outer_loss,valid/pre_adapt_support_accuracy,valid/post_adapt_support_accuracy,valid/post_adapt_query_accuracy,step
0,0,0.2884523904085872,0.004483938217163086,0.006414890289306641,3.454864501953125,0.7620750665664673,0.494140625,0.494140625,0.50390625,0.7620250463485718,0.4333984375,0.4333984375,0.4376953125,0
1000,0,0.49460490488920544,0.0027861595153808594,0.002824544906616211,2.014498472213745,0.7644391059875488,0.49609375,0.49609375,0.478515625,0.7639168322086334,0.4345703125,0.4345703125,0.4380859375,1000
2000,1,0.5266754858116198,0.002242565155029297,0.002757549285888672,1.8919556140899658,0.7606344223022461,0.470703125,0.470703125,0.49609375,0.7609644949436187,0.4369140625,0.4369140625,0.4330078125,2000
3000,2,0.544099901643623,0.0033838748931884766,0.0026955604553222656,1.830418586730957,0.764357328414917,0.525390625,0.525390625,0.474609375,0.7640160977840423,0.4373046875,0.4373046875,0.430859375,3000
4000,2,0.5601081034450295,0.002277374267578125,0.00275421142578125,1.7785849571228027,0.7621341347694397,0.490234375,0.490234375,0.484375,0.7598792731761932,0.4443359375,0.4443359375,0.43046875,4000
