time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/outer_loss,train/pre_adapt_support_accuracy,train/post_adapt_support_accuracy,train/post_adapt_query_accuracy,valid/outer_loss,valid/pre_adapt_support_accuracy,valid/post_adapt_support_accuracy,valid/post_adapt_query_accuracy,step
0,0,0.2849330136662827,0.0044248104095458984,0.006409168243408203,3.498000383377075,0.7725397944450378,0.5078125,0.5078125,0.521484375,0.776762580871582,0.4341796875,0.4341796875,0.4328125,0
1000,0,0.5074251828939214,0.0029723644256591797,0.0028944015502929688,1.9623284339904785,0.7786704897880554,0.48828125,0.48828125,0.498046875,0.781365031003952,0.437109375,0.437109375,0.4251953125,1000
2000,1,0.511457887105257,0.0029296875,0.002959012985229492,1.9474854469299316,0.7766265869140625,0.5078125,0.5078125,0.5,0.7817268908023834,0.4251953125,0.4251953125,0.4572265625,2000
3000,2,0.5367753402242238,0.003427743911743164,0.0026683807373046875,1.8555998802185059,0.7672202587127686,0.505859375,0.505859375,0.5234375,0.7810153245925904,0.4376953125,0.4376953125,0.4365234375,3000
